Disease,Drug
B12 Nutritional Deficiency,cyanocobalamin
Babesiosis,clindamycin
Babesiosis,atovaquone
Babesiosis,azithromycin
Back Pain,tramadol
Back Pain,ibuprofen
Back Pain,acetaminophen / hydrocodone
Back Pain,naproxen
Back Pain,diclofenac
Back Pain,duloxetine
Back Pain,aspirin
Back Pain,nabumetone
Bacteremia,ceftriaxone
Bacteremia,ciprofloxacin
Bacteremia,clindamycin
Bacteremia,cefotaxime
Bacteremia,metronidazole
Bacteremia,vancomycin
Bacteremia,amikacin
Bacteremia,cefepime
Bacteremia,ceftazidime
Bacteremia,piperacillin / tazobactam
Bacteremia,cilastatin / imipenem
Bacteremia,gentamicin
Bacteremia,linezolid
"Conjunctivitis, Bacterial",erythromycin
"Conjunctivitis, Bacterial",tobramycin
"Conjunctivitis, Bacterial",ciprofloxacin
"Conjunctivitis, Bacterial",gentamicin
"Conjunctivitis, Bacterial",polymyxin b / trimethoprim
"Conjunctivitis, Bacterial",ofloxacin
"Conjunctivitis, Bacterial",moxifloxacin
"Conjunctivitis, Bacterial",dexamethasone / tobramycin
"Conjunctivitis, Bacterial",azithromycin
"Conjunctivitis, Bacterial",bacitracin
"Conjunctivitis, Bacterial",dexamethasone / neomycin / polymyxin b
Campylobacter Gastroenteritis,erythromycin
Campylobacter Gastroenteritis,ofloxacin
Campylobacter Gastroenteritis,minocycline
Bacterial Endocarditis Prevention (Bacterial Endocarditis Prophylaxis),amoxicillin
Bacterial Endocarditis Prevention (Bacterial Endocarditis Prophylaxis),cephalexin
Bacterial Endocarditis Prevention (Bacterial Endocarditis Prophylaxis),clarithromycin
Bacterial Endocarditis Prevention (Bacterial Endocarditis Prophylaxis),clindamycin
Bacterial Endocarditis Prevention (Bacterial Endocarditis Prophylaxis),azithromycin
Bacterial Endocarditis Prevention (Bacterial Endocarditis Prophylaxis),erythromycin
Bacterial Endocarditis Prevention (Bacterial Endocarditis Prophylaxis),ceftriaxone
Bacterial Endocarditis Prevention (Bacterial Endocarditis Prophylaxis),vancomycin
Bacterial Endocarditis Prevention (Bacterial Endocarditis Prophylaxis),cefadroxil
Bacterial Endocarditis Prevention (Bacterial Endocarditis Prophylaxis),cefazolin
Bacterial Endocarditis Prevention (Bacterial Endocarditis Prophylaxis),ampicillin
Bacterial Endocarditis Prevention (Bacterial Endocarditis Prophylaxis),gentamicin
Bacterial Infection,amoxicillin
Bacterial Infection,ciprofloxacin
Bacterial Infection,clindamycin
Bacterial Infection,doxycycline
Bacterial Infection,cephalexin
Bacterial Infection,metronidazole
Bacterial Infection,ceftriaxone
Bacterial Infection,levofloxacin
Bacterial Infection,sulfamethoxazole / trimethoprim
Bacterial Infection,azithromycin
Bacterial Infection,amoxicillin / clavulanate
Bacterial Infection,vancomycin
Bacterial Infection,cefuroxime
Bacterial Skin Infection,sulfamethoxazole / trimethoprim
Bacterial Skin Infection,bacitracin
Bacterial Skin Infection,bacitracin / neomycin / polymyxin b
Bacterial Skin Infection,benzalkonium chloride / lidocaine
Bacterial Skin Infection,bacitracin / polymyxin b
Bacterial Skin Infection,hydrocortisone / neomycin / polymyxin b
Bacterial Skin Infection,bacitracin / hydrocortisone / neomycin / polymyxin b
Bacterial Skin Infection,fluocinolone / neomycin
Bacterial Skin Infection,bacitracin / neomycin / polymyxin b / pramoxine
Bacterial Skin Infection,neomycin / polymyxin b / pramoxine
Bacterial Vaginitis,metronidazole
Bacterial Vaginitis,clindamycin
Bacterial Vaginitis,acetic acid
Bacterial Vaginitis,tinidazole
Bacterial Vaginitis,secnidazole
Vertigo,meclizine
Vertigo,promethazine
Balanoposthitis,clotrimazole
Balanoposthitis,metronidazole
Balanoposthitis,miconazole
Balantidium coli,metronidazole
Tinea Barbae,griseofulvin
Barium Meal Transit,sincalide
Barium Poisoning,magnesium sulfate
Mitral Valve Prolapse,atenolol
Mitral Valve Prolapse,metoprolol
Mitral Valve Prolapse,propranolol
Mitral Valve Prolapse,bisoprolol
Mitral Valve Prolapse,nebivolol
Mitral Valve Prolapse,nadolol
Mitral Valve Prolapse,labetalol
Barrett's Esophagus,omeprazole
Barrett's Esophagus,pantoprazole
Barrett's Esophagus,esomeprazole
Barrett's Esophagus,lansoprazole
Barrett's Esophagus,rabeprazole
Barrett's Esophagus,dexlansoprazole
Bartonellosis,rifampin
Bartonellosis,doxycycline
Bartonellosis,azithromycin
Bartonellosis,minocycline
Bartonellosis,erythromycin
Bartter Syndrome,indomethacin
Basal Cell Carcinoma,fluorouracil
Basal Cell Carcinoma,imiquimod
Basal Cell Carcinoma,vismodegib
Basal Cell Carcinoma,sonidegib
Migraine,sumatriptan
Migraine,rizatriptan
Migraine,gabapentin
Migraine,aspirin / butalbital / caffeine
Migraine,cyclobenzaprine
Migraine,diclofenac
Migraine,naratriptan
Migraine,almotriptan
Migraine,zolmitriptan
Migraine,eletriptan
Body Dysmorphic Disorder,escitalopram
Body Dysmorphic Disorder,fluoxetine
Body Dysmorphic Disorder,sertraline
Body Dysmorphic Disorder,citalopram
Body Dysmorphic Disorder,risperidone
Body Dysmorphic Disorder,paroxetine
Body Dysmorphic Disorder,olanzapine
Body Dysmorphic Disorder,ziprasidone
Body Dysmorphic Disorder,fluvoxamine
Binge Eating Disorder,fluoxetine
Binge Eating Disorder,lisdexamfetamine
Dermal Ulcer,collagenase
Dermal Ulcer,becaplermin
Dermal Ulcer,cadexomer iodine
Enuresis,imipramine
Enuresis,belladonna
Beef Tapeworm Infection (Taenia saginata),praziquantel
Beef Tapeworm Infection (Taenia saginata),paromomycin
Behcet's Disease,colchicine
Behcet's Disease,azathioprine
Behcet's Disease,infliximab
Behcet's Disease,adalimumab
Behcet's Disease,etanercept
Behcet's Disease,apremilast
Bejel,penicillin g benzathine
Gas,simethicone
Gas,aluminum hydroxide / magnesium hydroxide / simethicone
Benign Essential Tremor,propranolol
Benign Essential Tremor,primidone
Benign Essential Tremor,gabapentin
Benign Essential Tremor,nadolol
Benign Essential Tremor,metoprolol
Benign Essential Tremor,zonisamide
Muscle Twitching (Fasciculations),baclofen
Pseudotumor Cerebri,acetazolamide
Chronic Fatigue Syndrome,modafinil
Chronic Fatigue Syndrome,duloxetine
Chronic Fatigue Syndrome,lisdexamfetamine
Chronic Fatigue Syndrome,amantadine
Chronic Fatigue Syndrome,armodafinil
Benign Prostatic Hyperplasia,tamsulosin
Benign Prostatic Hyperplasia,finasteride
Benign Prostatic Hyperplasia,doxazosin
Benign Prostatic Hyperplasia,terazosin
Benign Prostatic Hyperplasia,alfuzosin
Benign Prostatic Hyperplasia,tadalafil
Benign Prostatic Hyperplasia,dutasteride
Benign Prostatic Hyperplasia,prazosin
Benign Prostatic Hyperplasia,silodosin
Benign Prostatic Hyperplasia,dutasteride / tamsulosin
Benzodiazepine Overdose,flumazenil
Benzodiazepine Withdrawal,clonazepam
Benzodiazepine Withdrawal,clonidine
IgA Nephropathy,cyclophosphamide
Beriberi,thiamine
Berylliosis,prednisone
Berylliosis,triamcinolone
Berylliosis,cortisone
Beta Thalassemia,luspatercept
Neurofibromatosis,bevacizumab
Bile Acid Synthesis Disorders,cholic acid
Primary Biliary Cholangitis,ursodiol
Primary Biliary Cholangitis,colchicine
Primary Biliary Cholangitis,azathioprine
Primary Biliary Cholangitis,obeticholic acid
Bipolar Disorder,lamotrigine
Bipolar Disorder,lithium
Bipolar Disorder,quetiapine
Bipolar Disorder,gabapentin
Bipolar Disorder,clonazepam
Bipolar Disorder,divalproex sodium
Bipolar Disorder,bupropion
Bipolar Disorder,oxcarbazepine
Bipolar Disorder,risperidone
Bipolar Disorder,sertraline
Bipolar Disorder,aripiprazole
Bipolar Disorder,topiramate
Bipolar Disorder,olanzapine
Bipolar Disorder,venlafaxine
Birth Control (Contraception),levonorgestrel
Birth Control (Contraception),norethindrone
Birth Control (Contraception),ethinyl estradiol / norgestimate
Birth Control (Contraception),ethinyl estradiol / levonorgestrel
Birth Control (Contraception),ethinyl estradiol / norethindrone
Birth Control (Contraception),medroxyprogesterone
Hemangioma,propranolol
Urinary Tract Stones,tamsulosin
Urinary Tract Stones,allopurinol
Urinary Tract Stones,magnesium oxide
Urinary Tract Stones,citric acid / potassium citrate
Urinary Tract Stones,citric acid / sodium citrate
Bladder Cancer,mitomycin
Bladder Cancer,cisplatin
Bladder Cancer,atezolizumab
Bladder Cancer,methotrexate
Bladder Cancer,doxorubicin
Bladder Cancer,thiotepa
Bladder Cancer,cyclophosphamide
Bladder Cancer,erdafitinib
Overactive Bladder,darifenacin
Overactive Bladder,onabotulinumtoxinA
Bladder Infection,ciprofloxacin
Bladder Infection,nitrofurantoin
Bladder Infection,cephalexin
Bladder Infection,amoxicillin
Bladder Infection,levofloxacin
Bladder Infection,trimethoprim
Bladder Infection,cefuroxime
Bladder Infection,methenamine
Bladder Infection,cefpodoxime
Bladder Infection,fosfomycin
Interstitial Cystitis,phenazopyridine
Interstitial Cystitis,amitriptyline
Interstitial Cystitis,hydroxyzine
Interstitial Cystitis,pentosan polysulfate sodium
Interstitial Cystitis,trospium
Interstitial Cystitis,imipramine
Interstitial Cystitis,dimethyl sulfoxide
Urinary Incontinence,oxybutynin
Urinary Incontinence,tolterodine
Urinary Incontinence,amitriptyline
Urinary Incontinence,mirabegron
Urinary Incontinence,solifenacin
Urinary Incontinence,hyoscyamine
Urinary Incontinence,trospium
Urinary Incontinence,duloxetine
Urinary Incontinence,fesoterodine
Urinary Incontinence,darifenacin
Blastomycosis,fluconazole
Blastomycosis,itraconazole
Blastomycosis,ketoconazole
Blastomycosis,voriconazole
Blastomycosis,amphotericin b
Blastomycosis,amphotericin b lipid complex
Bleeding Disorder,tranexamic acid
Bleeding Disorder,goserelin
Bleeding Disorder,"dextran, high molecular weight"
Blepharitis,dexamethasone / neomycin / polymyxin b
Blepharitis,bacitracin / polymyxin b
Blepharitis,prednisolone / sulfacetamide sodium
Blepharitis,bacitracin / neomycin / polymyxin b
Blepharitis,hydrocortisone / neomycin / polymyxin b
Blepharitis,gentamicin / prednisolone
Blepharoconjunctivitis,polymyxin b / trimethoprim
Blepharoconjunctivitis,bacitracin / polymyxin b
Blepharoconjunctivitis,bacitracin / neomycin / polymyxin b
Blepharospasm,incobotulinumtoxinA
Blepharospasm,onabotulinumtoxinA
Nasal Congestion,pseudoephedrine
Nasal Congestion,phenylephrine
Nasal Congestion,oxymetazoline
Nasal Congestion,loratadine / pseudoephedrine
Nasal Congestion,sodium chloride
Nasal Congestion,epinephrine
Nasal Congestion,xylometazoline
Blood Cell Transplantation,cisplatin
Deep Vein Thrombosis,enoxaparin
Deep Vein Thrombosis,rivaroxaban
Deep Vein Thrombosis,heparin
Deep Vein Thrombosis,apixaban
Deep Vein Thrombosis,dabigatran
Deep Vein Thrombosis,fondaparinux
Deep Vein Thrombosis,edoxaban
Deep Vein Thrombosis,urokinase
Blood Disorders,hetastarch
Burning Mouth Syndrome (Glossopyrosis),clonazepam
Burning Mouth Syndrome (Glossopyrosis),gabapentin
Burning Mouth Syndrome (Glossopyrosis),lidocaine
Burning Mouth Syndrome (Glossopyrosis),amitriptyline
Burning Mouth Syndrome (Glossopyrosis),nortriptyline
Burning Mouth Syndrome (Glossopyrosis),capsaicin
Burning Mouth Syndrome (Glossopyrosis),chlordiazepoxide
Body Imaging,iohexol
Body Imaging,ioversol
Lice,permethrin
Lice,lindane
Lice,piperonyl butoxide / pyrethrins
Lice,spinosad
Tinea Corporis,betamethasone / clotrimazole
Tinea Corporis,ketoconazole
Tinea Corporis,clotrimazole
Tinea Corporis,terbinafine
Tinea Corporis,miconazole
Tinea Corporis,fluconazole
Tinea Corporis,econazole
Tinea Corporis,griseofulvin
Tinea Corporis,tolnaftate
Tinea Corporis,ciclopirox
Osteosarcoma,methotrexate
Osteosarcoma,doxorubicin
Osteosarcoma,cyclophosphamide
Osteosarcoma,dactinomycin
Bone infection (Osteomyelitis),cephalexin
Bone infection (Osteomyelitis),clindamycin
Bone infection (Osteomyelitis),vancomycin
Bone infection (Osteomyelitis),ciprofloxacin
Bone infection (Osteomyelitis),ceftriaxone
Bone infection (Osteomyelitis),cefazolin
Bone infection (Osteomyelitis),cefuroxime
Bone infection (Osteomyelitis),metronidazole
Bone infection (Osteomyelitis),piperacillin / tazobactam
Bone infection (Osteomyelitis),dicloxacillin
Bone infection (Osteomyelitis),cefotaxime
Bone infection (Osteomyelitis),ceftazidime
Bone infection (Osteomyelitis),gentamicin
Bone infection (Osteomyelitis),ofloxacin
Bone Marrow Transplantation,fluconazole
Bone Marrow Transplantation,filgrastim
Bone Marrow Transplantation,busulfan
Bone Marrow Transplantation,immune globulin intravenous
Bone Marrow Transplantation,cisplatin
Bone Marrow Transplantation,sargramostim
"Bone Marrow Transplantation, Failure or Engraftment Delay",sargramostim
"Bone Marrow Transplantation, Myeloid Reconstruction",sargramostim
Osteolytic Bone Metastases of Solid Tumors,denosumab
Osteolytic Bone Metastases of Solid Tumors,zoledronic acid
"Breast Cancer, Bone Metastases",pamidronate
Osteoporosis,alendronate
Osteoporosis,calcium / vitamin d
Osteoporosis,calcium carbonate
Osteoporosis,risedronate
Osteoporosis,denosumab
Osteoporosis,ibandronate
Osteoporosis,hydrochlorothiazide
Osteoporosis,raloxifene
Osteoporosis,calcitonin
Osteoporosis,estradiol
Osteoporosis,teriparatide
Osteoporosis,zoledronic acid
Borderline Personality Disorder,quetiapine
Borderline Personality Disorder,lamotrigine
Borderline Personality Disorder,lithium
Borderline Personality Disorder,risperidone
Borderline Personality Disorder,fluoxetine
Borderline Personality Disorder,olanzapine
Borderline Personality Disorder,buspirone
Borderline Personality Disorder,clonazepam
Borderline Personality Disorder,sertraline
Borderline Personality Disorder,aripiprazole
Borderline Personality Disorder,topiramate
Borderline Personality Disorder,diazepam
Borderline Personality Disorder,lorazepam
Borderline Personality Disorder,escitalopram
Borderline Personality Disorder,divalproex sodium
Borderline Personality Disorder,alprazolam
Borderline Personality Disorder,clozapine
Borderline Personality Disorder,oxcarbazepine
Borderline Personality Disorder,citalopram
Borderline Personality Disorder,haloperidol
Borderline Personality Disorder,lurasidone
Borderline Personality Disorder,l-methylfolate
Borderline Personality Disorder,carbamazepine
Borderline Personality Disorder,asenapine
Borderline Personality Disorder,paliperidone
Botulism,botulism immune globulin
Botulism,botulism antitoxin
Botulism,penicillin g potassium
Botulism,penicillin g sodium
Botulism Prophylaxis,botulism antitoxin
Bowel Preparation,polyethylene glycol 3350
Bowel Preparation,bisacodyl
Bowel Preparation,polyethylene glycol 3350 with electrolytes
Bowel Preparation,magnesium sulfate / potassium sulfate / sodium sulfate
Bowel Preparation,erythromycin
Bowel Preparation,citric acid / magnesium oxide / sodium picosulfate
Bowel Preparation,neomycin
Bradyarrhythmia,atropine
Brain Tumor,lomustine
Brain Tumor,everolimus
Brain Tumor,methotrexate
Brain Tumor,carmustine
Brain Tumor,cyclophosphamide
Brain Tumor,cisplatin
Head Injury,amantadine
Head Injury,risperidone
Breakthrough Pain,fentanyl
Breast Cancer,tamoxifen
Breast Cancer,anastrozole
Breast Cancer,letrozole
Breast Cancer,exemestane
Breast Cancer,cyclophosphamide
Breast Cancer,methotrexate
Breast Cancer,doxorubicin
Breast Cancer,paclitaxel
Breast Cancer,trastuzumab
Breast Cancer,capecitabine
Breast Cancer,everolimus
"Breast Cancer, Adjuvant",tamoxifen
"Breast Cancer, Adjuvant",letrozole
"Breast Cancer, Adjuvant",trastuzumab
"Breast Cancer, Adjuvant",epirubicin
"Breast Cancer, Adjuvant",paclitaxel
"Breast Cancer, Adjuvant",leuprolide
"Breast Cancer, Adjuvant",neratinib
"Breast Cancer, Male",tamoxifen
"Breast Cancer, Male",palbociclib
"Breast Cancer, Male",alpelisib
"Breast Cancer, Metastatic",letrozole
"Breast Cancer, Metastatic",anastrozole
"Breast Cancer, Metastatic",tamoxifen
"Breast Cancer, Metastatic",capecitabine
"Breast Cancer, Metastatic",fulvestrant
"Breast Cancer, Metastatic",palbociclib
"Breast Cancer, Metastatic",docetaxel
"Breast Cancer, Metastatic",eribulin
"Breast Cancer, Metastatic",trastuzumab
"Breast Cancer, Metastatic",paclitaxel
"Breast Cancer, Palliative",tamoxifen
"Breast Cancer, Palliative",megestrol
"Breast Cancer, Palliative",goserelin
"Breast Cancer, Palliative",estradiol
"Breast Cancer, Palliative",testosterone
"Breast Cancer, Palliative",conjugated estrogens
"Breast Cancer, Palliative",fluorouracil
"Breast Cancer, Palliative",methyltestosterone
"Breast Cancer, Palliative",fluoxymesterone
"Breast Cancer, Palliative",esterified estrogens
"Breast Cancer, Palliative",ethinyl estradiol
"Breast Cancer, Prevention",tamoxifen
"Breast Cancer, Prevention",raloxifene
Lactation Augmentation,metoclopramide
Osteogenesis Imperfecta,calcitonin
Bronchiectasis,albuterol
Bronchiectasis,doxycycline
Bronchiectasis,guaifenesin
Bronchiectasis,amoxicillin
Bronchiectasis,ipratropium
Bronchiectasis,ciprofloxacin
Bronchiectasis,amoxicillin / clavulanate
Respiratory Syncytial Virus,ribavirin
Respiratory Syncytial Virus,palivizumab
Bronchitis,azithromycin
Bronchitis,doxycycline
Bronchitis,amoxicillin
Bronchitis,guaifenesin
Bronchitis,levofloxacin
Bronchitis,clarithromycin
Bronchitis,amoxicillin / clavulanate
Bronchitis,cefdinir
Bronchitis,ciprofloxacin
Bronchitis,cefuroxime
Bronchitis,sulfamethoxazole / trimethoprim
Bronchitis,erythromycin
COPD,prednisone
COPD,montelukast
COPD,budesonide / formoterol
COPD,fluticasone / vilanterol
COPD,aclidinium
COPD,levalbuterol
COPD,roflumilast
COPD,umeclidinium / vilanterol
COPD,olodaterol / tiotropium
COPD,dyphylline
COPD,fluticasone / umeclidinium / vilanterol
COPD,olodaterol
COPD,umeclidinium
Bronchogenic Carcinoma,cimetidine
Bronchogenic Carcinoma,doxorubicin
Pneumonia,levofloxacin
Pneumonia,clarithromycin
Pneumonia,ceftriaxone
Pneumonia,azithromycin
Pneumonia,doxycycline
Pneumonia,amoxicillin
Pneumonia,ciprofloxacin
Pneumonia,clindamycin
Pneumonia,cefdinir
Pneumonia,amoxicillin / clavulanate
Pneumonia,sulfamethoxazole / trimethoprim
Pneumonia,cefotaxime
Pneumonia,metronidazole
Pneumonia,moxifloxacin
Pneumonia,cefuroxime
Bronchopulmonary Dysplasia,fluticasone
Bronchopulmonary Dysplasia,prednisolone
Bronchopulmonary Dysplasia,dexamethasone
Bronchospasm During Anesthesia,isoproterenol
Bronchospasm Prophylaxis,albuterol
Bronchospasm Prophylaxis,montelukast
Bronchospasm Prophylaxis,formoterol
Bronchospasm Prophylaxis,salmeterol
Brucellosis,doxycycline
Brucellosis,tetracycline
Brucellosis,streptomycin
Brucellosis,gentamicin
Brucellosis,chloramphenicol
Brucellosis,minocycline
Bruxism,onabotulinumtoxinA
Plague,ciprofloxacin
Plague,levofloxacin
Plague,streptomycin
Plague,doxycycline
Plague,gentamicin
Plague,chloramphenicol
Plague,moxifloxacin
Plague,ofloxacin
Thrombotic/Thromboembolic Disorder,heparin
Thrombotic/Thromboembolic Disorder,argatroban
Thrombotic/Thromboembolic Disorder,alteplase
Thrombotic/Thromboembolic Disorder,urokinase
Bulimia,fluoxetine
Bulimia,topiramate
Bulimia,venlafaxine
Bullous Pemphigoid,prednisone
Bullous Pemphigoid,doxycycline
Bullous Pemphigoid,dapsone
Bullous Pemphigoid,minocycline
Bullous Pemphigoid,mycophenolate mofetil
Bullous Pemphigoid,azathioprine
Bullous Pemphigoid,tetracycline
Bullous Pemphigoid,methotrexate
Bullous Pemphigoid,rituximab
Bullous Pemphigoid,prednisolone
Bullous Pemphigoid,erythromycin
Bullous Pemphigoid,infliximab
Bullous Pemphigoid,cyclophosphamide
"Burns, External",silver sulfadiazine
"Burns, External",lidocaine
"Burns, External",gentamicin
"Burns, External",vancomycin
"Burns, External",benzocaine
Minor Burns,vitamin a & d
"Burns, Nitrogen Retention",somatropin
Bursitis,naproxen
Bursitis,prednisone
Bursitis,indomethacin
Bursitis,dexamethasone
Bursitis,cortisone
Bursitis,triamcinolone
Bursitis,betamethasone
Bursitis,trolamine salicylate
Bursitis,sulindac
Post Traumatic Stress Disorder,prazosin
Post Traumatic Stress Disorder,sertraline
Post Traumatic Stress Disorder,lamotrigine
Post Traumatic Stress Disorder,mirtazapine
Post Traumatic Stress Disorder,quetiapine
